;Species;Month;Day;Year;CaptureTime;ReleaseTime;BandNumber;Age;Sex;Wing;Weight;Culmen;Hallux;Tail;StandardTail;Tarsus;WingPitFat;KeelFat;Crop
47;RT;9;27;1993;13:00:00; ;877-76344;1;;393;1050;28.7;29.8;222;NA;NA;NA;NA;NA
48;RT;9;27;1993;13:20:00; ;877-76345;1;;378;1040;26.2;31.2;225;NA;NA;NA;NA;NA
49;RT;9;27;1993;15:03:00; ;877-76346;1;;398;1110;26.5;30.9;225;NA;NA;NA;NA;NA
50;RT;9;28;1993;11:50:00; ;877-76347;1;;412;1300;27.9;31.55;233;NA;NA;NA;NA;NA
51;RT;9;28;1993;12:45:00; ;877-76348;1;;400;980;25.7;29.3;214;NA;NA;NA;NA;NA
52;RT;9;29;1993;09:53:00; ;877-76349;1;;422;1120;26.4;28.3;233;NA;NA;NA;NA;NA
53;SS;9;29;1993;10:25:00; ;1253-98803;1;2;202;134;12.4;13.7;158;NA;NA;NA;NA;NA
54;RT;9;29;1993;15:30:00; ;877-76350;1;;394;1270;27.8;31.6;245;NA;NA;NA;NA;NA
55;RT;9;30;1993;13:25:00; ;787-53708;1;;369;880;25;26.5;210;NA;NA;NA;NA;NA
56;CH;10;1;1993;10:20:00; ;745-49512;1;2;252;340;16;20.8;230;NA;NA;NA;NA;NA
57;CH;10;1;1993;10:45:00; ;745-49513;2;1;240;340;16.1;19.3;192;NA;NA;NA;NA;NA
58;RT;10;3;1993;13:35:00; ;1207-55922;1;;410;1255;29.7;31.4;229;NA;NA;NA;NA;NA
59;RT;10;4;1993;11:25:00; ;1207-55923;1;;241;1320;28.6;36.4;235;NA;NA;NA;NA;NA
60;RT;10;7;1993;14:40:00; ;1207-55924;1;;408;1320;30;33.4;221;NA;NA;NA;NA;NA
61;RT;10;9;1993;09:38:00; ;877-76351;1;;37.2;1180;20.2;26.65;210;NA;NA;NA;NA;NA
62;RT;10;9;1993;10:20:00; ;877-76552;1;;380;760;24.5;26.1;212;NA;NA;NA;NA;NA
63;RT;10;10;1993;11:25:00; ;1207-55927;1;;396;1250;26.6;32.5;225;NA;NA;NA;NA;NA
64;RT;10;10;1993;13:27:00; ;877-76353;1;;326;NA;25.2;27.7;215;NA;NA;NA;NA;NA
65;SS;10;11;1993;11:35:00; ;1173-19906;1;1;158;100;10.8;10.5;122;NA;NA;NA;NA;NA
66;RT;10;11;1993;14:00:00; ;877-76354;1;;416;1300;27.3;32.7;235;NA;NA;NA;NA;NA
67;CH;10;12;1993;13:15:00; ;745-49515;1;2;271;475;18.2;24.75;232;NA;NA;NA;NA;NA
68;SS;10;13;1993;09:23:00; ;1173-19907;2;1;176;100;9.8;11.1;133;NA;NA;NA;NA;NA
69;SS;10;14;1993;14:05:00; ;1373-35272;2;2;194;NA;11.4;14.2;154;NA;NA;NA;NA;NA
70;RT;10;21;1993;09:20:00; ;877-76355;2;;390;1080;30.2;29.1;209;NA;NA;NA;NA;NA
71;RT;10;21;1993;15:30:00; ;877-76357;2;;391;1130;26.4;29.4;212;NA;NA;NA;NA;NA
72;RT;10;22;1993;16:35:00; ;877-76358;2;;387;1160;26.8;31;209;NA;NA;NA;NA;NA
73;RT;10;23;1993;13:05:00; ;1207-55941;1;;420;1345;29.5;34.3;250;NA;NA;NA;NA;NA
74;RT;10;25;1993;14:12:00; ;877-76359;2;;435;1385;32.6;30.6;235;NA;NA;NA;NA;NA
75;RT;10;26;1993;15:55:00; ;877-76360;2;;400;1210;25.5;28.6;222;NA;NA;NA;NA;NA
76;RT;10;31;1993;11:35:00; ;1207-55947;1;;398;1455;28;31.5;236;NA;NA;NA;NA;NA
77;RT;11;5;1993;11:00:00; ;877-76361;1;;395;1180;25;28.9;210;NA;NA;NA;NA;NA
78;RT;11;18;1993;10:37:00; ;877-76362;1;;410;1500;27.1;33.2;239;NA;NA;NA;NA;NA
79;RT;9;6;1994;09:55:00; ;1387-99101;1;;369;1025;27.1;31.5;228;NA;NA;NA;NA;NA
80;RT;9;6;1994;10:40:00; ;1387-99102;1;;372;930;26.1;31.1;220;NA;NA;NA;NA;NA
81;RT;9;7;1994;12:27:00; ;1387-99104;1;;415;1360;28.6;33.5;233;NA;NA;NA;NA;NA
82;RT;9;7;1994;13:35:00; ;1387-99103;1;;412;1255;27.7;32.6;236;NA;NA;NA;NA;NA
83;SS;9;8;1994;12:10:00; ;1423-16201;1;2;205;194;12.6;14.4;155;NA;NA;NA;NA;NA
84;SS;9;9;1994;09:02:00; ;2003-58433;1;2;204;159;12.5;14.8;152;NA;NA;NA;NA;NA
85;SS;9;9;1994;10:47:00; ;872-09611;1;1;170;90;9.5;11.3;135;NA;NA;NA;NA;NA
86;CH;9;12;1994;11:24:00; ;1204-45804;2;1;233;340;17.8;19.4;186;NA;NA;NA;NA;NA
87;RT;9;12;1994;13:50:00; ;1387-97105;1;;375;1065;25.9;30;216;NA;NA;NA;NA;NA
88;RT;9;13;1994;11:58:00; ;1387-79106;1;;385;1125;19.6;31.4;233;NA;NA;NA;NA;NA
89;RT;9;15;1994;12:45:00; ;1207-64601;1;;422;1340;28.7;32;248;NA;NA;NA;NA;NA
90;RT;9;15;1994;13:20:00; ;1387-79107;1;;391;1050;26.6;32.2;221;NA;NA;NA;NA;NA
91;RT;9;15;1994;13:35:00; ;1387-79108;1;;410;1210;27.5;308;227;NA;NA;NA;NA;NA
92;RT;9;16;1994;10:23:00; ;1387-79109;1;;385;980;26.8;27.8;223;NA;NA;NA;NA;NA
93;RT;9;16;1994;11:20:00; ;1387-79111;1;;381;1000;25.5;29.8;219;NA;NA;NA;NA;NA
94;RT;8;18;1994;12:05:00; ;1207-64602;2;;416;1390;28.1;31.3;225;NA;NA;NA;NA;NA
95;RT;9;18;1994;13:20:00; ;1207-64603;1;;406;1275;29;33.7;238;NA;NA;NA;NA;NA
96;RT;9;19;1994;12:58:00; ;1207-64604;1;;418;1180;30.1;341.4;235;NA;NA;NA;NA;NA
97;RT;9;19;1994;14:05:00; ;1207-64605;1;;412;1210;29.3;33.8;222;NA;NA;NA;NA;NA
98;SS;9;20;1994;09:05:00; ;2003-58435;2;2;208;168;12.7;14.8;155;NA;NA;NA;NA;NA
99;SS;9;20;1994;09:33:00; ;2003-58436;1;2;208;146;11.8;14.9;160;NA;NA;NA;NA;NA
100;SS;9;20;1994;11:04:00; ;1423-16203;1;1;175;108;10;11.5;137;NA;NA;NA;NA;NA
101;SS;9;20;1994;12:10:00; ;1423-16204;1;1;166;94;9.5;11.3;127;NA;NA;NA;NA;NA
102;RT;9;29;1994;13:55:00; ;1387-79112;1;;405;1085;27.7;29.9;238;NA;NA;NA;NA;NA
103;SS;9;20;1994;14:00:00; ;2003-58437;2;2;198;188;12.2;143;150;NA;NA;NA;NA;NA
104;SS;9;29;1994;14:45:00; ;2003-58438;1;2;200;154;12.4;14.4;150;NA;NA;NA;NA;NA
105;RT;9;21;1994;13:50:00; ;1387-79113;1;;380;810;25.9;28.7;229;NA;NA;NA;NA;NA
106;RT;9;23;1994;11:48:00; ;1387-79114;1;;381;905;27.9;29.1;227;NA;NA;NA;NA;NA
107;SS;9;26;1994;10:28:00; ;872-09612;1;1;169;94;9;10.2;129;NA;NA;NA;NA;NA
108;CH;9;26;1994;10:54:00; ;2206-35417;1;2;260;420;19.6;23.9;220;NA;NA;NA;NA;NA
109;RT;9;26;1994;12:10:00; ;1207-64606;1;;428;1240;29.1;34.7;245;NA;NA;NA;NA;NA
110;RT;9;26;1994;14:02:00; ;1207-64607;1;;400;990;26.9;31.4;223;NA;NA;NA;NA;NA
111;CH;9;27;1994;08:00:00; ;1705-24603;1;2;265;365;16.8;22.5;224;NA;NA;NA;NA;NA
112;SS;9;27;1994;11:55:00; ;1423-16205;1;1;177;91;10.2;11.3;133;NA;NA;NA;NA;NA
113;RT;9;27;1994;15:40:00; ;1307-79115;1;;381;1010;25.8;31.7;210;NA;NA;NA;NA;NA
114;RT;9;28;1994;09:25:00; ;1387-79116;1;;403;980;26.3;29.7;234;NA;NA;NA;NA;NA
115;RT;9;28;1994;11:10:00; ;1387-79117;1;;382;860;26.5;29;219;NA;NA;NA;NA;NA
116;RT;9;28;1994;11:38:00; ;1387-79118;1;;382;970;25.8;29;216;NA;NA;NA;NA;NA
117;RT;9;28;1994;13:02:00; ;1387-79119;1;;399;980;27.5;29.9;230;NA;NA;NA;NA;NA
118;RT;9;29;1994;13:55:00; ;1387-79120;1;;380;985;23.9;29;223;NA;NA;NA;NA;NA
119;RT;9;29;1994;13:16:00; ;1387-79121;1;;375;990;25.6;30.6;220;NA;NA;NA;NA;NA
120;RT;9;30;1994;10:39:00; ;1207-64608;1;;420;1210;27.8;32.6;241;NA;NA;NA;NA;NA
121;SS;10;3;1994;11:13:00; ;872-09613;1;1;170;89;8.6;11;136;NA;NA;NA;NA;NA
122;SS;10;3;1994;13:07:00; ;872-09614;2;1;177;97;10;11.3;137;NA;NA;NA;NA;NA
123;RT;10;4;1994;13:37:00; ;1387-79122;1;;375;990;28;29.5;223;NA;NA;NA;NA;NA
124;RT;10;4;1994;14:45:00; ;1207-64609;1;;395;1170;28.1;31.7;238;NA;NA;NA;NA;NA
125;SS;10;5;1994;11:55:00; ;872-09615;2;1;170;93;10.1;11.2;126;NA;NA;NA;NA;NA
126;RT;10;5;1994;13:55:00; ;1207-64610;1;;406;1350;30.5;32;235;NA;NA;NA;NA;NA
127;RT;10;5;1994;15:17:00; ;1207-64611;1;;414;1370;29.3;33;240;NA;NA;NA;NA;NA
128;SS;10;5;1994;16:00:00; ;872-09616;1;1;173;103;9.7;19.4;137;NA;NA;NA;NA;NA
129;SS;10;6;1994;10:45:00; ;2003-58439;1;2;209;151;12.2;13.9;160;NA;NA;NA;NA;NA
130;SS;10;6;1994;11:23:00; ;872-09617;1;1;177;101;10.3;12.1;140;NA;NA;NA;NA;NA
131;RT;10;7;1994;10:50:00; ;1387-79123;1;;388;985;26.9;29.8;220;NA;NA;NA;NA;NA
132;RT;10;7;1994;11:24:00; ;1387-79124;1;;277;940;26.5;30.4;218;NA;NA;NA;NA;NA
133;RT;10;7;1994;12:15:00; ;1207-64612;1;;423;1310;27.4;34.1;234;NA;NA;NA;NA;NA
134;RT;10;7;1994;15:40:00; ;1387-79125;1;;365;1035;26.1;30.8;232;NA;NA;NA;NA;NA
135;RT;10;7;1994;16:35:00; ;1387-79126;1;;383;965;26.1;31.8;221;NA;NA;NA;NA;NA
136;RT;10;10;1994;11:02:00; ;1387-79127;1;;391;1125;25.4;30.9;220;NA;NA;NA;NA;NA
137;RT;10;10;1994;12:01:00; ;1387-79128;1;;389;975;26.4;30.3;232;NA;NA;NA;NA;NA
138;RT;10;10;1994;12:23:00; ;1387-79129;1;;392;1140;26.2;29.8;214;NA;NA;NA;NA;NA
139;RT;10;10;1994;13:10:00; ;1387-79130;1;;375;950;25.3;29.9;225;NA;NA;NA;NA;NA
140;RT;10;10;1994;13:50:00; ;1207-64613;1;;410;1210;28.1;28.9;238;NA;NA;NA;NA;NA
141;SS;10;10;1994;15:07:00; ;872-09618;1;1;179;95;10.8;11.6;133;NA;NA;NA;NA;NA
142;SS;10;11;1994;08:52:00; ;872-09619;1;1;172;89;9.4;10.8;136;NA;NA;NA;NA;NA
143;SS;10;11;1994;12:36:00; ;2003-58440;2;2;202;195;12.4;14.1;151;NA;NA;NA;NA;NA
144;SS;10;12;1994;11:15:00; ;1423-16206;1;1;174;93;9.5;11;131;NA;NA;NA;NA;NA
145;RT;10;13;1994;13:05:00; ;1207-64614;1;;422;1205;28.8;31.3;238;NA;NA;NA;NA;NA
146;RT;10;13;1994;14:00:00; ;1387-79131;1;;385;1045;27.6;27.5;229;NA;NA;NA;NA;NA
147;RT;10;16;1994;12:05:00; ;1387-79132;1;;363;1090;26.6;28.8;202;NA;NA;NA;NA;NA
148;RT;10;16;1994;11:30:00; ;1207-64615;1;;450;1190;30.3;32.8;226;NA;NA;NA;NA;NA
149;RT;10;18;1994;10:00:00; ;1287-79133;1;;380;960;25.6;30.1;220;NA;NA;NA;NA;NA
150;RT;10;18;1994;12:35:00; ;1387-79134;1;;385;955;26.3;30.1;215;NA;NA;NA;NA;NA
151;RT;10;18;1994;13:30:00; ;1387-79135;1;;385;1110;24.7;30.2;122;NA;NA;NA;NA;NA
152;SS;10;19;1994;09:08:00; ;872-09620;1;1;171;100;19.1;11.5;134;NA;NA;NA;NA;NA
153;RT;10;19;1994;10:46:00; ;1387-79136;1;;380;900;24;26.5;215;NA;NA;NA;NA;NA
154;RT;10;19;1994;11:27:00; ;1387-79137;1;;384;1075;26.5;30.7;208;NA;NA;NA;NA;NA
155;RT;10;19;1994;12:15:00; ;1387-79138;1;;373;980;27.9;32.1;211;NA;NA;NA;NA;NA
156;RT;10;19;1994;12:55:00; ;1387-79139;1;;381;940;27.8;34.2;220;NA;NA;NA;NA;NA
157;RT;10;19;1994;13:35:00; ;1387-79140;1;;363;1070;25.6;30.4;204;NA;NA;NA;NA;NA
158;RT;10;19;1994;13:50:00; ;1387-79141;1;;409;1120;29.4;31.6;229;NA;NA;NA;NA;NA
159;RT;10;20;1994;12:00:00; ;1387-79142;2;;390;1060;27.6;29;205;NA;NA;NA;NA;NA
160;SS;10;21;1994;10:12:00; ;2003-58441;1;2;204;168;12.1;14.3;155;NA;NA;NA;NA;NA
161;SS;10;22;1994;14:45:00; ;1423-16207;1;2;197;211;11.5;13.9;150;NA;NA;NA;NA;NA
162;RT;10;23;1994;11:06:00; ;1387-79143;1;;420;1125;27.2;27.4;244;NA;NA;NA;NA;NA
163;RT;10;23;1994;11:36:00; ;1387-79144;1;;381;1100;27;28.2;225;NA;NA;NA;NA;NA
164;RT;10;23;1994;13:09:00; ;1207-64616;1;;408;1360;30;33.9;239;NA;NA;NA;NA;NA
165;RT;10;23;1994;14:25:00; ;1387079145;1;;388;995;26.7;30.7;222;NA;NA;NA;NA;NA
166;RT;10;23;1994;15:00:00; ;1387-79146;2;;398;1095;21.1;31.4;209;NA;NA;NA;NA;NA
167;SS;10;24;1994;09:05:00; ;1423-16208;1;2;209;196;12.1;14.6;164;NA;NA;NA;NA;NA
168;SS;10;25;1994;10:25:00; ;2003-58442;1;2;209;176;11.7;15.1;159;NA;NA;NA;NA;NA
169;RT;10;25;1994;14:00:00; ;1387-079147;2;;394;1075;25.5;29.7;211;NA;NA;NA;NA;NA
170;SS;10;25;1994;14:19:00; ;1423-11209;2;2;204;180;12.3;15.2;160;NA;NA;NA;NA;NA
171;SS;10;26;1994;02:52:48; ;1423-16210;1;2;204;164;12.3;14.3;157;NA;NA;NA;NA;NA
172;SS;10;26;1994;10:29:00; ;2003-58443;1;2;209;158;12.2;14.4;160;NA;NA;NA;NA;NA
173;RT;10;26;1994;11:39:00; ;1387-79148;1;;394;1140;26.8;29.2;216;NA;NA;NA;NA;NA
174;RT;10;26;1994;14:55:00; ;1207-64617;1;;416;1240;27.9;31.8;250;NA;NA;NA;NA;NA
175;RT;10;26;1994;15:40:00; ;1207-64618;1;;445;1465;29.7;34.6;260;NA;NA;NA;NA;NA
176;SS;10;27;1994;09:15:00; ;2003-58444;1;2;209;169;12.1;14.5;164;NA;NA;NA;NA;NA
177;RT;10;27;1994;10:55:00; ;1387-79149;1;;388;1105;26.7;28.9;217;NA;NA;NA;NA;NA
178;RT;10;27;1994;11:50:00; ;1387-79150;1;;397;1010;27.1;31.4;228;NA;NA;NA;NA;NA
179;RT;10;27;1994;12:24:00; ;1387-79151;1;;384;1075;26.3;30.5;218;NA;NA;NA;NA;NA
180;RT;10;27;1994;13:37:00; ;1387-79152;1;;379;1060;27.9;30.9;220;NA;NA;NA;NA;NA
181;RT;10;28;1994;10:05:00; ;1387-79199;1;;393;1015;27.6;31.1;227;NA;NA;NA;NA;NA
182;RT;10;28;1994;10:45:00; ;1387-79153;1;;386;1100;26;30.2;211;NA;NA;NA;NA;NA
183;RT;10;29;1994;11:05:00; ;1387-79154;1;;397;1010;25;30.6;222;NA;NA;NA;NA;NA
184;RT;10;29;1994;11:50:00; ;1387-79155;1;;382;1000;26.3;30.1;225;NA;NA;NA;NA;NA
185;RT;11;1;1994;10:45:00; ;1387-79156;1;;386;980;25.4;30.2;221;NA;NA;NA;NA;NA
186;RT;11;1;1994;11:21:00; ;1387-79157;1;;417;1240;28.7;32.4;231;NA;NA;NA;NA;NA
187;RT;11;2;1994;11:41:00; ;1387-79158;1;;403;1360;27.9;33.1;235;NA;NA;NA;NA;NA
188;CH;11;2;1994;12:26:00; ;1204-45805;2;1;239;183;17.3;19.2;182;NA;NA;NA;NA;NA
189;RT;11;2;1994;12:20:00; ;1207-64619;1;;401;1405;29.1;82.8;235;NA;NA;NA;NA;NA
190;RT;11;2;1994;14:52:00; ;1387-79159;2;;377;1055;27;29.1;200;NA;NA;NA;NA;NA
191;RT;11;6;1994;09:55:00; ;1207-64620;2;;432;1670;27.1;32.9;216;NA;NA;NA;NA;NA
192;RT;11;6;1994;10:30:00; ;1207-64621;1;;390;1250;26.2;30.5;223;NA;NA;NA;NA;NA
193;RT;11;6;1994;11:40:00; ;1387-79160;1;;381;1030;25.3;29.9;210;NA;NA;NA;NA;NA
194;RT;11;7;1994;11:22:00; ;1387-79161;1;;403;1040;NA;29.9;229;NA;NA;NA;NA;NA
195;SS;11;7;1994;12:47:00; ;1423-16211;1;2;213;190;12.2;15.5;160;NA;NA;NA;NA;NA
196;SS;11;9;1994;09:46:00; ;872-09621;1;1;172;105;10;10.8;125;NA;NA;NA;NA;NA
197;RT;11;9;1994;15:02:00; ;1807-53101;1;;390;1090;26.2;28.8;226;NA;NA;NA;NA;NA
198;SS;11;11;1994;10:00:00; ;1423-16212;1;2;204;190;11.8;13.9;154;NA;NA;NA;NA;NA
199;RT;11;11;1994;11:59:00; ;1387-79162;2;;386;1050;28.4;29.4;207;NA;NA;NA;NA;NA
200;RT;11;11;1994;14:42:00; ;1387-79163;1;;402;1110;26.1;30;238;NA;NA;NA;NA;NA
201;SS;11;11;1994;15:01:00; ;1423-16213;1;2;201;206;12.1;13.5;151;NA;NA;NA;NA;NA
202;SS;11;11;1994;15:23:00; ;1423-16214;1;2;202;195;12.1;14.8;158;NA;NA;NA;NA;NA
203;RT;11;15;1994;11:40:00; ;1387-79164;2;;374;1010;24.9;30.1;197;NA;NA;NA;NA;NA
204;RT;11;16;1994;11:15:00; ;1807-53103;1;;358;880;24.2;28.7;250;NA;NA;NA;NA;NA
205;RT;11;16;1994;12:19:00; ;1387-79165;1;;370;1060;24.3;29.8;215;NA;NA;NA;NA;NA
206;RT;11;21;1994;10:40:00; ;1387-79166;1;;390;920;25.7;30;214;NA;NA;NA;NA;NA
207;RT;11;21;1994;13:33:00; ;1387-79167;1;;398;1195;26.2;29.8;230;NA;NA;NA;NA;NA
208;RT;9;8;1995;13:30:00; ;1387-170;1;;360;890;26;28.4;213;NA;NA;NA;NA;NA
209;RT;9;8;1995;14:20:00; ;1387-79171;1;;355;900;25.3;29;214;NA;NA;NA;NA;NA
210;RT;9;13;1995;14:30:00; ;1207-64623;2;;375;1110;22.2;31.5;224;NA;NA;NA;NA;NA
211;SS;9;13;1995;14:45:00; ;2003-59463;1;2;200;160;10.2;13.2;153;NA;NA;NA;NA;NA
212;SS;9;14;1995;10:05:00; ;972-09622;1;1;179;105;10.1;11.3;131;NA;NA;NA;NA;NA
213;SS;9;15;1995;09:40:00; ;2003-58464;1;1;175;99;9.6;12.7;145;NA;NA;NA;NA;NA
214;SS;9;15;1995;09:50:00; ;2003-58465;1;2;203;165;12;14.4;165;NA;NA;NA;NA;NA
215;SS;9;15;1995;11:05:00; ;2003-58466;1;2;205;100;12;12.5;168;NA;NA;NA;NA;NA
216;SS;9;17;1995;11:20:00; ;1343-78401;1;2;213;125;11.5;14.4;156;NA;NA;NA;NA;NA
217;RT;9;17;1995;12:15:00; ;1387-79173;1;;409;1100;29;32.6;215;NA;NA;NA;NA;NA
218;SS;9;17;1995;14:58:00; ;1343-78402;1;2;202;NA;NA;NA;164;NA;NA;NA;NA;NA
219;SS;9;18;1995;14:20:00; ;1343-78403;1;2;195;155;11.9;14.6;155;NA;NA;NA;NA;NA
220;RT;9;18;1995;15:10:00; ;1207-64624;1;;415;1285;29.5;31.8;239;NA;NA;NA;NA;NA
221;CH;9;19;1995;10:05:00; ;1204-45806;2;1;236;390;15.1;20.4;185;NA;NA;NA;NA;NA
222;RT;9;20;1995;10:50:00; ;1387-79174;1;;363;920;26.8;30.2;214;NA;NA;NA;NA;NA
223;RT;9;23;1995;10:10:00; ;1387-79175;1;;381;1025;25.4;30.8;232;NA;NA;NA;NA;NA
224;RT;9;26;1995;11:05:00; ;1387-79176;2;;350;940;26;29.1;205;NA;NA;NA;NA;NA
225;RT;9;26;1995;13:03:00; ;1387-79177;1;;398;1240;28.5;30.8;243;NA;NA;NA;NA;NA
226;RT;9;26;1995;12:55:00; ;1207-64625;1;;412;1160;27.8;33;255;NA;NA;NA;NA;NA
227;SS;9;26;1995;13:55:00; ;2003-58467;1;2;203;150;11.5;13.9;159;NA;NA;NA;NA;NA
228;SS;9;27;1995;09:40:00; ;2003-58468;1;2;201;130;11.7;14.4;156;NA;NA;NA;NA;NA
229;RT;9;27;1995;12:50:00; ;1387-79178;1;;411;1240;26.8;32.7;276;NA;NA;NA;NA;NA
230;RT;9;27;1995;13:55:00; ;1807-53104;1;;373;930;24.4;27.4;210;NA;NA;NA;NA;NA
231;SS;10;1;1995;10:15:00; ;1423-16221;1;1;178;90;10.9;12.1;145;NA;NA;NA;NA;NA
232;RT;10;1;1995;12:04:00; ;1207-64626;1;;415;1240;25.6;31.2;231;NA;NA;NA;NA;NA
233;RT;10;1;1995;12:50:00; ;1387-79179;1;;383;1030;25.2;29.8;216;NA;NA;NA;NA;NA
234;CH;10;2;1995;13:55:00; ;1705-24606;1;1;223;550;18.8;21.3;210;NA;NA;NA;NA;NA
235;RT;10;3;1995;11:20:00; ;1387-79180;1;;390;1250;26.5;32;210;NA;NA;NA;NA;NA
236;RT;10;3;1995;11:45:00; ;1387-79181;1;;390;999;25.3;29.8;220;NA;NA;NA;NA;NA
237;RT;10;4;1995;12:20:00; ;1387-79182;2;;365;1120;26.5;30.8;260;NA;NA;NA;NA;NA
